Farmer,Record_ID_system_date,Record_ID_system_time,AIR_HUMIDITY,AIR_TEMPERATURE,CARBON_DIOXIDE,EVENT,LIGHT_INTENSITY,SHIELD_BATTERY_LEVEL,SHIELD_FW_VERSION,SHIELD_ID,SOIL_MOISTURE,SOIL_NITROGEN,SOIL_PHOSPHOROUS,SOIL_POTASSIUM,SOIL_TEMPERATURE,SPEAR_BATTERY_LEVEL,SPEAR_DATA,SPEAR_FW_VERSION,SPEAR_ID,STORE_TIMESTAMP_DATE,Store_timestamp_time,VALVE_POSITION,WATER_DISPENSED
TrayOne,11/07/2023,10:15:01,347,309,0,95,44,97.2935257,0.82.69,0102030405060708090a6407,482,0,0,0,30,4119,010c0102030405060708090000021f030000030e0217100c022c000402e2010a021e000804000000003e,0.0.3,1.02E+22,11/07/2023,12:39:09,0,0
TrayOne2,11/07/2023,10:15:01,380,299,713,95,56,95.91239166,0.82.69,0102030405060708090a640a,1198,190,3,237,31,4211,010c0102030405060708090000021f030000030e0273100c0238000402ae040a021f000804c90200003e,0.0.3,1.02E+22,11/07/2023,12:59:05,0,0
TrayOne3,11/07/2023,10:15:01,372,308,334,95,48,96.6796875,0.82.69,0102030405060708090a640b,614,0,0,0,30,4161,010c0102030405060708090000011f030000030e0241100402660205027401090234010b0200001d0200001c0200003e,0.0.3,1.02E+22,11/07/2023,12:48:27,0,0
TrayOne,11/07/2023,11:15:00,333,305,0,95,44,95.45201111,0.82.69,0102030405060708090a6407,449,0,0,0,31,4138,010c0102030405060708090000021f030000030e022a100c022c000402c1010a021f000804000000003e,0.0.3,1.02E+22,11/07/2023,13:39:08,0,0
TrayOne2,11/07/2023,11:15:01,341,304,712,95,56,95.75892639,0.82.69,0102030405060708090a640a,1208,131,221,203,31,4214,010c0102030405060708090000021f030000030e0276100c0238000402b8040a021f000804c80200003e,0.0.3,1.02E+22,11/07/2023,13:59:06,0,0
TrayOne3,11/07/2023,11:15:01,340,313,308,95,44,96.52622223,0.82.69,0102030405060708090a640b,386,0,0,0,31,4198,010c0102030405060708090000011f030000030e0266100402820105025401090239010b0200001d0200001c0200003e,0.0.3,1.02E+22,11/07/2023,13:48:24,0,0
TrayOne,11/07/2023,12:15:01,320,303,0,95,44,96.0658493,0.82.69,0102030405060708090a6407,440,0,0,0,31,4161,010c0102030405060708090000021f030000030e0241100c022c000402b8010a021f000804000000003e,0.0.3,1.02E+22,11/07/2023,14:39:08,0,0
TrayOne2,11/07/2023,12:15:01,329,306,669,95,60,95.75892639,0.82.69,0102030405060708090a640a,1187,29,218,193,31,4216,010c0102030405060708090000021f030000030e0278100c023c000402a3040a021f0008049d0200003e,0.0.3,1.02E+22,11/07/2023,14:59:07,0,0
TrayOne3,11/07/2023,12:15:02,322,314,315,95,48,96.6796875,0.82.69,0102030405060708090a640b,369,0,0,0,30,4188,010c0102030405060708090000011f030000030e025c10040271010502420109023a010b0200001d0200001c0200003e,0.0.3,1.02E+22,11/07/2023,14:48:23,0,0
TrayOne,11/07/2023,13:15:01,297,305,0,95,44,100.5161819,0.82.69,0102030405060708090a6407,438,0,0,0,31,4161,010c0102030405060708090000021f030000030e0241100c022c000402b6010a021f000804000000003e,0.0.3,1.02E+22,11/07/2023,15:39:06,0,0
